iter	Passed	Remaining
287	8220	20321
288	8247	20290
289	8266	20238
290	8302	20227
291	8339	20220
292	8385	20233
293	8402	20178
294	8423	20129
295	8458	20116
296	8521	20169
297	8539	20117
298	8557	20062
299	8579	20017
300	8633	20048
301	8665	20027
302	8683	19974
303	8709	19939
304	8743	19923
305	8776	19904
306	8794	19851
307	8821	19818
308	8855	19802
309	8901	19812
310	8920	19761
311	8954	19744
312	8988	19727
313	9046	19763
314	9065	19714
315	9081	19658
316	9101	19608
317	9137	19596
318	9192	19623
319	9210	19572
320	9245	19557
321	9288	19558
322	9314	19522
323	9332	19471
324	9349	19417
325	9367	19367
326	9454	19459
327	9472	19407
328	9496	19367
329	9582	19454
330	9601	19406
331	9618	19352
332	9638	19306
333	9679	19301
334	9720	19295
335	9738	19245
336	9760	19203
337	9793	19181
338	9825	19158
339	9848	19118
340	9868	19071
341	9885	19020
342	9907	18977
343	9987	19045
344	10006	18998
345	10034	18966
346	10068	18947
347	10106	18935
348	10131	18898
349	10149	18849
350	10169	18804
351	10203	18784
352	10261	18808
353	10280	18761
354	10298	18710
355	10319	18667
356	10352	18645
357	10386	18625
358	10409	18587
359	10426	18536
360	10455	18506
361	10530	18559
362	10551	18516
363	10569	18468
364	10640	18511
365	10663	18471
366	10680	18421
367	10697	18372
368	10714	18321
369	10732	18274
370	10748	18223
371	10763	18170
372	10779	18120
373	10795	18068
374	10810	18017
375	10825	17966
376	10842	17916
377	10856	17865
378	10872	17814
379	10887	17763
380	10902	17712
381	10916	17660
382	10931	17610
383	10946	17560
384	10961	17510
385	10976	17459
386	10991	17410
387	11005	17359
388	11020	17309
389	11034	17258
390	11048	17208
391	11062	17158
392	11076	17108
393	11090	17058
394	11105	17009
395	11119	16959
396	11133	16910
397	11147	16861
398	11161	16812
399	11175	16763
400	11189	16714
401	11203	16666
402	11217	16617
403	11232	16570
404	11246	16523
405	11262	16477
406	11279	16434
407	11295	16389
408	11311	16345
409	11328	16301
410	11345	16259
411	11364	16218
412	11385	16182
413	11405	16143
414	11424	16104
415	11445	16067
416	11466	16031
417	11488	15996
418	11511	15962
419	11530	15923
420	11549	15883
421	11583	15865
422	11648	15889
423	11670	15854
424	11686	15811
425	11706	15774
426	11741	15755
427	11776	15739
428	11807	15716
429	11831	15683
430	11917	15733
431	11937	15695
432	11988	15698
433	12034	15694
434	12052	15653
435	12084	15631
436	12118	15612
437	12153	15593
438	12171	15553
439	12188	15512
440	12206	15472
441	12241	15453
442	12302	15468
443	12320	15428
444	12352	15405
445	12421	15428
446	12439	15389
447	12473	15369
448	12507	15348
449	12541	15328
450	12561	15290
451	12578	15249
452	12599	15214
453	12633	15193
454	12672	15178
455	12692	15141
456	12709	15101
457	12741	15077
458	12774	15056
459	12812	15040
460	12832	15003
461	12849	14963
462	12870	14927
463	12908	14911
464	12945	14894
465	12966	14858
466	12983	14818
467	12999	14777
468	13031	14753
469	13065	14732
470	13098	14711
471	13135	14693
472	13154	14656
473	13185	14632
474	13248	14642
475	13268	14606
476	13286	14568
477	13362	14592
478	13394	14568
479	13411	14529
480	13433	14495
481	13517	14526
482	13535	14487
483	13559	14456
484	13643	14487
485	13664	14451
486	13681	14412
487	13697	14371
488	13715	14332
489	13734	14295
490	13750	14254
491	13765	14212
492	13780	14172
493	13795	14130
494	13809	14088
495	13824	14047
496	13840	14007
497	13855	13966
498	13871	13926
499	13886	13886
500	13901	13845
501	13916	13805
502	13930	13764
503	13944	13723
504	13959	13683
505	13973	13642
506	13988	13601
507	14002	13561
508	14016	13520
509	14030	13480
510	14045	13440
511	14059	13400
512	14074	13360
513	14088	13321
514	14103	13281
515	14118	13242
516	14133	13203
517	14147	13164
518	14162	13125
519	14176	13086
520	14190	13046
521	14205	13007
522	14219	12968
523	14233	12929
524	14248	12891
525	14263	12853
526	14279	12815
527	14294	12778
528	14310	12741
529	14325	12703
530	14341	12666
531	14356	12629
532	14373	12593
533	14389	12557
534	14406	12521
535	14424	12486
536	14440	12450
537	14457	12415
538	14477	12382
539	14496	12349
540	14519	12319
541	14539	12286
542	14558	12252
543	14579	12221
544	14605	12193
545	14627	12162
546	14649	12132
547	14670	12100
548	14747	12114
549	14780	12092
550	14800	12060
551	14820	12028
552	14838	11994
553	14871	11972
554	14905	11951
555	14933	11925
556	14959	11897
557	14976	11862
558	14997	11831
559	15031	11810
560	15114	11827
561	15134	11795
562	15150	11760
563	15171	11728
564	15207	11708
565	15266	11706
566	15286	11673
567	15319	11651
568	15352	11628
569	15379	11602
570	15399	11570
571	15433	11547
572	15490	11543
573	15511	11511
574	15528	11477
575	15544	11442
576	15651	11473
577	15713	11472
578	15734	11440
579	15752	11406
580	15768	11371
581	15785	11337
582	15801	11302
583	15819	11268
584	15833	11232
585	15848	11196
586	15864	11161
587	15880	11127
588	15894	11091
589	15909	11055
590	15925	11021
591	15940	10986
592	15954	10950
593	15969	10915
594	15984	10880
595	15999	10845
596	16013	10809
597	16027	10774
598	16041	10739
599	16056	10704
600	16072	10670
601	16086	10635
602	16101	10600
603	16115	10565
604	16130	10531
605	16145	10496
606	16158	10461
607	16172	10426
608	16188	10393
609	16204	10360
610	16219	10326
611	16234	10292
612	16249	10258
613	16267	10226
614	16285	10195
615	16305	10164
616	16323	10132
617	16341	10101
618	16363	10071
619	16386	10043
620	16414	10018
621	16439	9990
622	16529	10002
623	16549	9972
624	16565	9939
625	16584	9908
626	16622	9888
627	16672	9876
628	16692	9845
629	16711	9814
630	16726	9781
631	16762	9760
632	16812	9747
633	16832	9717
634	16852	9686
635	16924	9686
636	16955	9662
637	16975	9631
638	16993	9600
639	17028	9578
640	17049	9548
641	17071	9519
642	17100	9494
643	17121	9464
644	17144	9436
645	17166	9406
646	17185	9376
647	17205	9346
648	17238	9323
649	17271	9300
650	17299	9274
651	17323	9246
652	17341	9215
653	17364	9186
654	17398	9164
655	17453	9152
656	17469	9120
657	17503	9097
658	17539	9075
659	17569	9051
660	17588	9020
661	17605	8988
662	17625	8959
663	17665	8939
664	17699	8916
665	17719	8886
666	17737	8855
667	17770	8832
668	17812	8813
669	17837	8785
670	17855	8754
671	17889	8731
672	17955	8724
673	17976	8695
674	17995	8664
675	18012	8633
676	18028	8601
677	18044	8569
678	18060	8538
679	18074	8505
680	18088	8473
681	18105	8442
682	18121	8410
683	18136	8379
684	18151	8347
685	18167	8315
686	18182	8283
687	18198	8252
688	18212	8220
689	18228	8189
690	18244	8158
691	18259	8127
692	18273	8095
693	18290	8064
694	18304	8033
695	18320	8002
696	18334	7970
697	18348	7938
698	18362	7907
699	18375	7875
700	18389	7843
701	18404	7812
702	18418	7781
703	18435	7751
704	18450	7720
705	18465	7689
706	18480	7659
707	18495	7628
708	18511	7597
709	18526	7567
710	18541	7536
711	18556	7506
712	18571	7475
713	18585	7444
714	18599	7413
715	18614	7383
716	18630	7353
717	18646	7323
718	18660	7292
719	18686	7266
720	18705	7238
721	18723	7209
722	18743	7181
723	18763	7153
724	18786	7125
725	18806	7097
726	18825	7069
727	18844	7040
728	18863	7012
729	18886	6985
730	18919	6962
731	18958	6941
732	18978	6913
733	19001	6886
734	19036	6863
735	19089	6847
736	19111	6819
737	19128	6791
738	19146	6762
739	19187	6741
740	19222	6718
741	19260	6696
742	19280	6669
743	19298	6640
744	19314	6611
745	19345	6586
746	19378	6563
747	19415	6540
748	19434	6512
749	19467	6489
750	19503	6466
751	19538	6443
752	19558	6415
753	19575	6386
754	19596	6358
755	19634	6337
756	19713	6327
757	19734	6300
758	19752	6271
759	19771	6243
760	19789	6214
761	19805	6185
762	19822	6157
763	19838	6128
764	19853	6098
765	19868	6069
766	19884	6040
767	19900	6011
768	19916	5982
769	19931	5953
770	19946	5924
771	19962	5895
772	19977	5866
773	19992	5837
774	20007	5808
775	20023	5779
776	20036	5750
777	20051	5721
778	20066	5692
779	20080	5663
780	20095	5634
781	20109	5605
782	20124	5577
783	20138	5548
784	20153	5519
785	20169	5491
786	20185	5463
787	20202	5435
788	20220	5407
789	20238	5379
790	20257	5352
791	20273	5324
792	20290	5296
793	20307	5268
794	20327	5241
795	20345	5214
796	20366	5187
797	20385	5160
798	20408	5133
799	20430	5107
800	20452	5081
801	20487	5058
802	20509	5031
803	20540	5007
804	20577	4984
805	20612	4961
806	20635	4935
807	20655	4908
808	20671	4880
809	20688	4852
810	20727	4830
811	20767	4808
812	20813	4787
813	20832	4760
814	20848	4732
815	20872	4706
816	20959	4694
817	20978	4667
818	20995	4640
819	21018	4613
820	21045	4588
821	21065	4561
822	21084	4534
823	21104	4507
824	21124	4480
825	21144	4454
826	21165	4427
827	21187	4401
828	21206	4374
829	21226	4347
830	21244	4320
831	21262	4293
832	21281	4266
833	21299	4239
834	21314	4211
835	21329	4184
836	21344	4156
837	21359	4129
838	21375	4101
839	21391	4074
840	21406	4047
841	21422	4019
842	21437	3992
843	21453	3965
844	21467	3937
845	21482	3910
846	21497	3883
847	21512	3855
848	21526	3828
849	21540	3801
850	21556	3774
851	21570	3747
852	21585	3719
853	21599	3692
854	21615	3665
855	21630	3638
856	21644	3611
857	21659	3584
858	21673	3557
859	21688	3530
860	21702	3503
861	21716	3476
862	21731	3449
863	21746	3423
864	21762	3396
865	21780	3370
866	21795	3343
867	21811	3316
868	21830	3290
869	21847	3264
870	21865	3238
871	21883	3212
872	21900	3185
873	21921	3160
874	21939	3134
875	21956	3107
876	21972	3081
877	21988	3055
878	22005	3029
879	22023	3003
880	22041	2977
881	22061	2951
882	22080	2925
883	22100	2900
884	22118	2874
885	22137	2848
886	22158	2822
887	22184	2798
888	22203	2772
889	22228	2747
890	22268	2724
891	22337	2704
892	22355	2678
893	22373	2652
894	22389	2626
895	22422	2602
896	22459	2578
897	22499	2555
898	22519	2529
899	22535	2503
900	22564	2479
901	22598	2455
902	22632	2431
903	22650	2405
904	22668	2379
905	22686	2353
906	22724	2330
907	22760	2306
908	22803	2282
909	22822	2257
910	22841	2231
911	22861	2205
912	22880	2180
913	22896	2154
914	22911	2128
915	22926	2102
916	22941	2076
917	22955	2050
918	22970	2024
919	22983	1998
920	22998	1972
921	23013	1946
922	23028	1921
923	23044	1895
924	23060	1869
925	23074	1843
926	23089	1818
927	23103	1792
928	23118	1766
929	23134	1741
930	23149	1715
931	23163	1690
932	23177	1664
933	23192	1638
934	23207	1613
935	23222	1587
936	23237	1562
937	23252	1536
938	23268	1511
939	23285	1486
940	23301	1461
941	23318	1435
942	23336	1410
943	23354	1385
944	23371	1360
945	23391	1335
946	23409	1310
947	23430	1285
948	23450	1260
949	23485	1236
950	23521	1211
951	23560	1187
952	23580	1162
953	23597	1137
954	23627	1113
955	23661	1089
956	23695	1064
957	23712	1039
958	23741	1015
959	23820	992
960	23839	967
961	23873	943
962	23911	918
963	23946	894
964	23970	869
965	23996	844
966	24045	820
967	24079	796
968	24112	771
969	24135	746
970	24153	721
971	24171	696
972	24187	671
973	24204	646
974	24219	621
975	24235	595
976	24250	570
977	24267	545
978	24282	520
979	24296	495
980	24310	470
981	24325	445
982	24340	420
983	24354	396
984	24368	371
985	24383	346
986	24398	321
987	24411	296
988	24426	271
989	24442	246
990	24456	222
991	24472	197
992	24487	172
993	24502	147
994	24517	123
995	24532	98
996	24548	73
997	24564	49
998	24581	24
999	24598	0
