iter	Logloss
0	0.6618440035
1	0.6349273821
2	0.6086752722
3	0.5874164165
4	0.5682494401
5	0.5500319322
6	0.5339885091
7	0.5185403155
8	0.5036203915
9	0.4896999297
10	0.477840623
11	0.4682840793
12	0.4580980079
13	0.4502717569
14	0.4403361262
15	0.4312928674
16	0.4239818117
17	0.4164679573
18	0.4095757064
19	0.4033229278
20	0.3975273783
21	0.3937213718
22	0.389803579
23	0.3852771504
24	0.3818434506
25	0.3778344769
26	0.3735687375
27	0.3694596007
28	0.3662123019
29	0.363565982
30	0.3601539161
31	0.3573253773
32	0.3543560528
33	0.3518033241
34	0.3498207005
35	0.348009239
36	0.3460612297
37	0.344858903
38	0.3430540246
39	0.3413099511
40	0.3395787411
41	0.3380661461
42	0.3356830381
43	0.3342019419
44	0.3327910433
45	0.331098795
46	0.3297445106
47	0.3287858248
48	0.3278289187
49	0.3266430945
50	0.3256388687
51	0.3245512824
52	0.3227023419
53	0.3218778349
54	0.3211316878
55	0.3198708455
56	0.3189267849
57	0.3182071912
58	0.3167140124
59	0.3160126385
60	0.3153499197
61	0.3146413733
62	0.3140347425
63	0.313364815
64	0.3126214768
65	0.3117867803
66	0.310759755
67	0.3101580948
68	0.3096780107
69	0.3091124172
70	0.3084642345
71	0.3078127713
72	0.3073218531
73	0.3066475391
74	0.305964659
75	0.3055190305
76	0.3047590544
77	0.3039705537
78	0.3028465768
79	0.3023077183
80	0.3019281416
81	0.3013809487
82	0.3010235205
83	0.3005131455
84	0.3001620113
85	0.2994594
86	0.2989985173
87	0.2984586124
88	0.298020691
89	0.2973793304
90	0.2970568383
91	0.29665643
92	0.2962065073
93	0.2954854805
94	0.2949370865
95	0.2945790216
96	0.294274679
97	0.2935314307
98	0.2929908151
99	0.2924547295
100	0.2920910137
101	0.2917792543
102	0.291167626
103	0.2907556828
104	0.2902390429
105	0.2898357263
106	0.2892746849
107	0.2888614808
108	0.2885425359
109	0.2881540454
110	0.2876409006
111	0.2871982202
112	0.2867818414
113	0.2863656931
114	0.2856027377
115	0.2849763392
116	0.2845850168
117	0.2842171869
118	0.2838606443
119	0.2834907783
120	0.2831016717
121	0.2826392506
122	0.2822534827
123	0.2818375652
124	0.28149182
125	0.2811628432
126	0.2806850603
127	0.2804339649
128	0.2800244657
129	0.2797713054
130	0.2794266682
131	0.2790377187
132	0.2788003631
133	0.2784219213
134	0.2781200058
135	0.277813843
136	0.2774859809
137	0.277089077
138	0.2767253012
139	0.2764252087
140	0.2761578405
141	0.2759185626
142	0.2756159762
143	0.2753854067
144	0.2747075918
145	0.2739666464
146	0.2737453625
147	0.2733493635
148	0.2731603319
149	0.2728865489
150	0.2725872979
151	0.2722546653
152	0.2719235457
153	0.2716365368
154	0.2713494191
155	0.2706802703
156	0.2704676774
157	0.2701434093
158	0.2698291976
159	0.2694890858
160	0.2689377403
161	0.2687492041
162	0.2684027185
163	0.2680146241
164	0.2678150805
165	0.2674680193
166	0.2671626493
167	0.2668815511
168	0.2665778504
169	0.2662164442
170	0.2660069262
171	0.2656619428
172	0.2654302917
173	0.2652279462
174	0.2650635505
175	0.264854561
176	0.2645134685
177	0.2643240731
178	0.2640866223
179	0.2636939615
180	0.2634648263
181	0.2631541161
182	0.2628630369
183	0.262656875
184	0.2622765261
185	0.261812312
186	0.2616040087
187	0.2613468339
188	0.2610000914
189	0.2605927789
190	0.2603426868
191	0.2600835932
192	0.2597999226
193	0.2594462669
194	0.2591772091
195	0.2590183786
196	0.2588196731
197	0.2586019666
198	0.2583362597
199	0.2580820908
200	0.2577990183
201	0.2575682498
202	0.2573403942
203	0.2570886841
204	0.256841484
205	0.2565186469
206	0.2563429686
207	0.2562138327
208	0.2559069882
209	0.2556904184
210	0.2554253724
211	0.2552643139
212	0.255114646
213	0.2549020935
214	0.2547534139
215	0.2544779964
216	0.2542566873
217	0.2539605583
218	0.2537525334
219	0.2535338951
220	0.2533119069
221	0.2530398707
222	0.2527875815
223	0.252522817
224	0.2522417145
225	0.2519764138
226	0.2518206716
227	0.251691221
228	0.2515463069
229	0.2513355405
230	0.2510872724
231	0.2506189085
232	0.2504147905
233	0.2502105284
234	0.2499920371
235	0.2496551788
236	0.2494612768
237	0.2493130932
238	0.2491880615
239	0.2488759058
240	0.2487006021
241	0.2484594338
242	0.2482782053
243	0.2481457841
244	0.2479896002
245	0.2477219927
246	0.2474874924
247	0.2473388792
248	0.2470786408
249	0.2468853716
250	0.246679833
251	0.2464250819
252	0.2461539859
253	0.2459523629
254	0.2457544108
255	0.2455467704
256	0.245339397
257	0.2448461425
258	0.2446046723
259	0.2443113767
260	0.2441136122
261	0.2439119736
262	0.2436661691
263	0.2434056152
264	0.2432402367
265	0.2430303269
266	0.2427960414
267	0.2426406107
268	0.2424964125
269	0.2423443576
270	0.2421807646
271	0.2419380969
272	0.2417296959
273	0.2415336316
274	0.2413813579
275	0.2412708341
276	0.2410543945
277	0.2408386045
278	0.2405316447
279	0.2402344132
280	0.239887317
281	0.2397333547
282	0.2394841749
283	0.2393071216
284	0.2391884311
285	0.239065782
286	0.2387362375
287	0.2385853042
288	0.2383933468
289	0.2379866906
290	0.2378287205
291	0.2376755094
292	0.2374050296
293	0.2372398037
294	0.2370123305
295	0.236838242
296	0.2366475708
297	0.2365392573
298	0.2363391397
299	0.2361479665
300	0.2359228242
301	0.2358330098
302	0.2354478036
303	0.2352682738
304	0.2350320143
305	0.2348559827
306	0.2345179251
307	0.2343371376
308	0.2340688277
309	0.2339383246
310	0.2336946957
311	0.2334982663
312	0.2333046732
313	0.2331887487
314	0.2329633788
315	0.2326990144
316	0.2325485965
317	0.2323693919
318	0.232192367
319	0.2319669288
320	0.2316464445
321	0.2315066373
322	0.2313524765
323	0.2311858705
324	0.2309191262
325	0.2307122786
326	0.230459533
327	0.2302121286
328	0.230019104
329	0.2298221572
330	0.2296318973
331	0.2294806102
332	0.229296116
333	0.2291304874
334	0.2289384564
335	0.2286953591
336	0.2285740269
337	0.2283397815
338	0.2281961569
339	0.2280036442
340	0.2278179563
341	0.2276262738
342	0.2274971493
343	0.227324662
344	0.2270892794
345	0.226893498
346	0.2267089556
347	0.2264938927
348	0.2263571213
349	0.2262208604
350	0.226064157
351	0.2259543782
352	0.2257705498
353	0.2255925922
354	0.2253952157
355	0.2252645602
356	0.2251128615
357	0.2250024725
358	0.2248365608
359	0.2246804814
360	0.2245559628
361	0.2242303578
362	0.2240367249
363	0.22381932
364	0.2236591297
365	0.2233112257
366	0.2231000201
367	0.222942948
368	0.2227407613
369	0.2226123953
370	0.2224523579
371	0.2222917875
372	0.2221688767
373	0.2219851284
374	0.2217776868
375	0.2215964521
376	0.2214917724
377	0.2212956975
378	0.2211620429
379	0.2210244533
380	0.220853314
381	0.2206530669
382	0.2204851686
383	0.2203886821
384	0.220167689
385	0.2200616102
386	0.2199321988
387	0.2198127268
388	0.2194554997
389	0.2191201212
390	0.2189126188
391	0.2187287081
392	0.2186138839
393	0.218480388
394	0.2183695459
395	0.2181952244
396	0.2180159909
397	0.2178932005
398	0.2177348017
399	0.2175332065
400	0.2173752979
401	0.2172746933
402	0.2170017528
403	0.2168610309
404	0.2167229806
405	0.2165287399
406	0.2163841426
407	0.216274062
408	0.2161829252
409	0.2160352662
